,stemmed_tokens
174,"['tambah', 'ssd', '512gb', 'free', 'game', 'gan']"
175,"['makan', 'game', 'roblox', 'berat', 'full', 'graphics', 'fps']"
176,"['pakai', 'mouse', 'keyboard', 'varian', 'monitor', 'curved']"
177,"['beli', 'pc', 'upgrade', 'vga', 'card', 'sedia', 'tambah', 'terima', 'kasih']"
178,"['kirim', 'bekas', 'barat', 'pakai', 'packing', 'kayu']"
179,"['ram', '8', '16gb']"
180,"['', '', '', '']"
181,"['min', 'monitor', 'fhd', 'hd']"
182,"['min', 'foto', 'gt730', 'deskripsi', 'gt1030']"
183,"['gan', 'ram', 'ganti', 'ddr4', 'ssd', '1tera', 'tambah', 'gan']"
184,"['makan', 'game', 'watt']"
185,"['kak', 'bayar', 'pakai', 'cicil', 'barang', 'kirim', 'tunggu', 'cicilanya', 'lunas']"
186,"['1030', 'serius', 'gan', 'game', 'berat']"
187,"['gan', 'game', 'aaa', 'speknya', 'bawah', 'minimum', 'steam']"
188,"['makan', 'gta', '5', 'fps', 'gan', '16', 'gb']"
189,"['makan', 'req', 'game', 'cod', 'vanguard']"
190,"['gan', 'kuat', 'butuh', 'desain', 'clip', 'studio', 'paint', 'photoshop', 'dll']"
191,"['makan', 'fifa23']"
192,"['butuh', 'stream', 'game', 'kelas', 'minecraft', 'roblox', 'dll', 'ngoding', 'design', 'edit', 'kuat', 'iya']"
193,"['kuat', 'desain', 'grafis', 'video', 'editing', 'kak']"
194,"['1030', 'kuat', 'makan', 'cod', 'warzone', 'kak']"
195,"['min', 'makan', 'apex', 'legend', 'fps', 'grafik']"
196,"['ready', 'pc', 'ssd', 'hdd']"
197,"['upgradeble', 'min']"
198,"['gan', 'makan', 'dota', '2', 'rata', 'kanan', 'kuat']"
199,"['nany', 'nih', 'gan', 'makan', 'game', 'red', 'dead', 'redemtion2', 'lancar', 'game', 'online', 'pointblank', 'lancar', 'jug', 'kah', 'nanya', 'min', 'soalny', 'tau', 'pc', 'hehe']"
200,"['makan', 'game', 'valhala', 'mas']"
201,"['makan', 'forza', 'horizon', '5', 'kuat', 'gan', 'maksimal', 'grafik']"
202,"['stream', 'ml', 'kuat']"
203,"['ups', '', 'harga']"
204,"['lancar', 'makan', 'nfs', 'heat', 'min']"
205,"['cek', 'inboxnow']"
206,"['valorant', 'genshin', 'fps', 'ini', 'blender', '3d']"
207,"['ram', 'maksimal', 'gb']"
208,"['min', 'live', 'streaming', 'game', 'emulator', 'pas', '1', 'ps2']"
209,"['gan', 'pc', 'fullset', 'beda']"
210,"['fifa', 'dua', 'lancar', 'kah', 'fps']"
211,"['stok', 'ready', 'gan', '16', 'gb', '1030']"
212,"['1030', 'kuat', 'makan', 'apex']"
213,"['dalam', 'fullset', 'kabel', 'kah', 'bang']"
214,"['makan', 'csgo', 'gan', 'fps']"
215,"['game', 'offline']"
216,"['1030', '16', 'gb', 'kuat', 'makan', 'resident', 'evil', '2', 'remake', 'min']"
217,"['simpan', 'internal']"
218,"['makan', 'gta', 'roleplay', 'kuat']"
219,"['hdd', 'ganti', '1t', 'min']"
220,"['gtx', '1650', 'tambah', 'gan']"
221,"['pes', '2021', 'game', 'berat']"
222,"['min', 'makan', 'watch', 'dogs', 'legion']"
223,"['min', 'maksimal', 'request', 'game berapa', 'game']"
224,"['min', 'tinggal', 'pakai', 'aja', 'musti', 'instal', 'windows']"
225,"['gan', 'pc', 'kuat', 'game', 'fifa21', '', 'record']"
226,['streaming']
227,"['makan', 'valorant', 'fortnite', 'fps']"
228,"['gt1030', 'makan', 'rdr2', 'horizon', 'zero', 'fps', 'min']"
229,"['16', 'gb', '1030', 'dota', '2', 'lancar', 'kak', 'fps']"
230,"['pc', 'kuat', 'main', 'gensin', 'impact', '', 'iya', 'fps']"
231,"['kak', 'processor', 'ganti', 'i7', 'gen', '8', 'gen', '10', 'tambah', 'toko', 'offline']"
232,"['req', 'game', 'gta', 'steam', 'bayar', 'bang']"
233,"['god', 'of', 'war', '2018', 'fps']"
234,"['slot', 'hdmi-', 'gan']"
235,"['makan', 'forza', '5', 'fps', 'gan']"
236,"['gan', 'support', 'hdmi']"
237,['cassingnya']
238,"['casing', 'min']"
239,"['makan', 'cyber', 'punk', 'bro', 'fps', 'bang']"
240,"['makan', 'gta', '5', '1', 'jam', 'wat', 'kak']"
241,"['gan', 'fullset', '16gb', 'vga', '1030', 'anda', 'depan', 'ganti', '1650', 'gan', 'psu', 'sanggup']"
242,"['i7', 'gen', 'bang']"
243,"['bang', 'makan', 'gta5', 'pfs']"
244,"['windows', '11', 'gan']"
245,"['min', 'paket', 'ini', 'butuh', 'daya', 'min', 'listrik', 'rumah', '450watt', '', 'maaf', 'min', 'tau', 'd']"
246,"['beli', 'set', 'monitor']"
247,"['maaf', 'fullset', 'monitor', 'merk']"
248,"['gan', 'tanya', 'streaming', 'valorant', 'youtube', 'twitch', 'agan']"
