slang,formal
kemariin,kemarin
knpp,kenapa
lggi,lagi
gaprgi,tidak pergi
aaahh,ah
pa2,apa-apa
dtunggu,ditunggu
masa2,masa-masa
kepikir,terpikir
seruuu,seru
emeshh,gemas
kaya,seperti
astagaaaaaa,astaga
pacarn,pacaran
ktg,kita
mbaak,mbak
ngalah,mengalah
de,adik
pacarane,pacaran
rusakkk,rusak
yaaampunnn,ya ampun
tuwek,tua
mukae,muka
ulang tahune,ulang tahun
kliata,kelihatan
pcara,pacaran
bermaksut,bermaksud
tampialan,tampilan
nikaah,nikah
"anak"",anak-anak,"
pankapan,kapan-kapan
ngumbar,mengumbar
dhpusin,dihapuskan
istiqomah,istikamah
mnutup,menutup
bngatt,banget
dii,di
ooh,oh
hapusin,hapuskan
ngeuh,engah
sneng,senang
mutusin,memutuskan
ngapus,menghapus
awl,awal
hrus,harus
bngkit,abangkit
mncoba,mencoba
mutuain,memutuskan
smw,semua
geuliiiiiiis,geulis
euyyyyy,euy
widihh,idih
uuh,uh
ngirim,mengirim
ngidam,mengidam
waah,
sampis,sampah habis
maapin,maaf
ngebala,bala
mampuussss,mampus
diihhhh,dih
sabal,sabar
udahlah,sudahlah
kauuuu,kau
sabaro,sabar
eehhh,eh
dar,medar
iiii,ih
kreative,kreatif
abangrt,banget
azekkkk,asik
akuaaatt,akuat
bhet,banget
inggrisny,inggris
dsna,disana
iyaap,iya
mksih,terima kasih
nga,tidak
canyk,cantik
prodac,produk
nyesell,menyesal
ciyusss,serius
de,
cyin,cinta
bangetttttttt,banget
sexi,seksi
bundaaaa,bunda
abangget,banget
bettt,banget
cantiiillx,cantik
brapa,berapa
alaami,alami
sabaarrr,sabar
cantiiiikk,cantik
abangeeeeetttt,banget
ciee,cie
cannntikk,cantik
abanggett,banget
thnan,tahunan
cuantik,cantik
segerr,segar
wouww,wow
cantiiikkk,cantik
pen,mau
catokin,catok
iakut2an,iakut-iakutan
comment2,komentar-komentar
teman2,teman-teman
besar2an,besar-besaran
knsul,konsultasi
brhasil,berhasil
hilangin,menghilangkan
kontak2,kontak-kontak
applikasi,aplikasi
kereeeeen,keren
bngeet,banget
gemesinnnnn,menggemaskan
ongkiir,ongkir
ajaibbbbb,ajaib
saayyyyy,say
ganteung,ganteng
bhgia,bahagia
iiiiiiiiii,ih
lucuukk,lucu
keciil,kecil
yakinn,yakin
pentass,pentas
ngarep,mengharap
kepoin,kepo
lucu2,lucu-lucu
yoo,iya
testi,testimoni
mengirusi,mengurusi
khdpn,kehidupan
ngelawan,melawan
betuuuuulllllllllllllllll,betul
bisax,bisa
klmbutan,kelembutan
seburuk2,seburuk-buruk
diingetin,diingatkan
ngeriiiiii,ngeri
nich,nih
akhlah,akhlak
elo2,lu-lu
mandiin,memandikan
nguburin,menguburkan
ngebedain,membedakan
urusanny,urusan

brtngkar,bertengkar
pndapat,pendapat
nmbah,menambah
looh,
sharus,seharus
mngkan,mangka
nyia2in,menyia-nyiakan
brarti,berarti
mndpat,mendapat
kpuasan,kepuasan
smudah,semudah
mlepaskan,melepaskan
trll,terlalu
sndr,sendiri
sellow,selow
sbbr,sebenar
kasar2,kasar-kasar
semangattt,semangat
baak,bak
bujukk,bujuk
d.apa,diapa
apain,apai
dsar,dasar
y,iya
benetaran,benaran
bneran,benaran
si,sih
kraya,karya
brg,bareng
ngebantu,membantu
kenalin,kenalkan
janjutin,lanjutkan
kepppoin,kepoi
recommendasi,rekomentardasi
btulan,betulan
kha,kah
s,si
s,sih
tutupin,menutupi
wik,wig
ithu,itu
botakin,botaki
botakkkk,botak
bnrn,benaran
week,wig
gawul,gaul
modes,modis
brayyy,bray
kmencantikkan,kemencantikkan
bronis,brondong manis
gapu,tidak pu
bkln,bakalan
kemencantikkanga,kemencantikkan
loooh,
hiii,hai
piiiilih,pilih
deeh,
zama,zaman
gnti,ganti
nm,nama
tapo,tapi
gkk,tidak
petinggi2,petinggi-petinggi
wota2,wota-wota
indefendet,independen
tempat2,tempat-tempat
taik,tahi
yuuuukkk,mari
dituutup,ditutup
ngayal,mengkhayal
smvk,sempak
ktaan,ketaan
njrittt,
selmt,selamat
taz,atas
klhran,kelahiran
pertma,pertama
kelahuran,kelahiran
pertamany,pertama
mamax,mama
ankx,anak
cantip,cantik
klahiran,kelahiran
slmat,selamat
mmabangga,memabangga
ortuny,orang tua
selmat,selamat
bnda,bunda
prtamax,pertama
moqa,moga
yq,iya
brbakti,berbakti
gewlaaaaa,gila
basodaraa,bersaudara
hargs,harga
perhatiin,perhatikan
abal2,abal-abal
bantuim,bantu
adl,adalah
pelwak,pelawak
suces,sukses
sucses,sukses
garemin,garami
gapake,tidak pakai
ngiringan,mengiringi
karir.a,karir
aamin,amin
teruz,terus
kemarn,kemarin
cobain,mencoba
recomendasi,rekomentardasi
promoo,promo
ongkirr,ongkir
mskasih,terima kasih
wowwwww,wow
seeeemua,semua
rekomentardasiin,rekomentardasikan
ranin,merani
batesin,batasi
bijin,bikin
pd,percaya diri
ngeidealin,mengidealkan
bhn,bahan
gasalah,tidak salah
brsma,bersama
le,boleh
ugha,juga
semuaaa,semua
heeee,hai
rame2,rame-rame
yam,iya
kartunin,kartun
kta,kita
abez,habis
baaaaaang,abang
ganteeeeng,ganteng
entahhh,entah
gimanaaaa,bagaimana
duuhh,duh
gantengaaa,ganteng
kpn2,kapan-kapan
pans,fan
akuliyh,akuliah
gantengakuuuuuu,gantengaku
atassss,atas
orgny,orang
owalaah,walah
aslinyo,asli
alissa,alis
masaaaa,masa
komuk,muka
kalahnye,kalah
maapin,maafi
iyaaaa,iya
fakultass,fakultas
smrg,semarang
unyu2,unyu-unyu
koq,kok
yyaaa,iya
insonniaaa,insomnia
adikx,adik
azaab,azab
gksi,tidak sih
greged,greget
alamiii,alami
ktemu,ketemu
ditayangin,ditayangkan
"ms"",masa-masa"
meranin,memenyarankan
nontonny,menonton
rekomentardasiiin,rekomendasi
sista2,sista-sista
agan2,agan-agan
ngg,tidak
nanget,banget
ngedit,mengedit
himana,bagaimana
kekgini,seperti begini
subhanaallahh,subhanallah
sangat2,sangat-sangat
terharuuuu,terharu
"kata"",kata-kata,"
subhanallahhh,subhanallah
tlsn,tulisan
nagiss,menangis
aneut,banget
trrharu,terharu
subhnallah,subhanallah
allahh,allah
suamiii,suami
dcintai,dicintai
klrga,keluarga
liat'y,lihat
lggeng,langgeng
romantisny,romatis
duhhh,duh
pcar,pacar
kakanga,kakak
slw,selow
cpa,siapa
akuu,aku
aelah,alah
orabg,orang
mukaa,muka
kakakny,kakak
woooyy,woy
ngelucu,melucu
bukak,buka
mato,mata
kareno,karena
cino,cina
munafikk,munafik
meker,mikir
indoneaia,indonesia
benarin,membenarkan
jaadii,jadi
apo,apa
nyo,
miara,memiara
jalanani,menjalani
dalil2,dalil-dalil
sunah2,sunah-sunah
sdah,sudah
benda2,benda-benda
bilang2,bilang-bilang
rumpiin,rumpi
hotak,botak
iakut2,iakut-iakut
ciptain,menciptakan
jawabanny,jawaban
urusin,urus
ajj,saja
mikir2,memikir-mikir
melihara,memelihara
oooh,oh
hidupx,hidup
ngefans,fan
lsg,langsung
uztad,ustad
anjinga,anjing
pegang2,pegang-pegang
ilmh,ilmu
menasehati,menasihati
suka2,suka-suka
kelus,kali
hubngan,hubungan
koclak,kocak
bju,baju
cinggiraaa,cinggir
yahhhh,ya
miripppp,mirip
sedikitlaahh,sedikitlah
miriplahhhhhh,miriplah
syediih,sedih
mirp,mirip
baju.a,baju
wiiiihhhhhhhhh,
gantheng,ganteng
synk,sayang
ngfans,fan
miriiippp,mirip
wooow,wow
panglingg,pangling
artisa,artis
dtggu,ditunggu
trta,terta
bgtttttttt,banget
rapih,rapi
buuun,bun
iyaappps,iya
sukse,sukses
nih2,nih-nih
baruu,baru
kecptan,kecepatan
giti,begitu
penganten,pengantin
wrn,warna
ne,ini
cantikkkkk,cantik
fans,fan
loksyut,lokasi syuting
amfun,ampun
k',kak
asuuu,asu
dsini,disini
dibls,dibalas
ceklist,ceklis
terusss,terus
tlvn,telepon
trkrim,terkirim
kelaluan,kelakuan
guanteng,ganteng
cucok,cocok
c,sih
sayaee,saya
semangatt,semangat
haduh,aduh
mlz,malas
emak2,emak-emak
tante2,tante-tante
kepoh,kepo
jalanin,menjalani
repong,repot
thu,itu
ngrusin,mengurusi
iy,iya
dnk,dong
senyumna,senyum
ngejelek2in,menjelek-jelekkan
hotx,hot
mbaaahhh,mbah
pasangn,pasangan
sttus,status
aama,sama
hadeuuhhhh,aduh
lebar2,lebar-lebar
sstu,sesuatu
serasiii,serasi
cocokx,cocok
emakx,emak
iniiiiiiiiiiiiiii,ini
cocookk,cocok
kll,kalau
arghhh,ah
ungkapin,ungkapkan
merrid,merit
neh,nih
cocokkkkk,cocok
yaoh,ya allah
aee,saja
naggung,menanggung
battt,banget
am,sama
tah,teh
luthuna,lucu
astagaaa,astaga
suaraya,suara
duaa,dua
anjingyyy,anjing
coeggg,coeg
ancur,hancur
koplak,kocak
uaaasssiiiik,asik
boss,bos
nyubit,mencubit
dede,adik
gemez,gemas
tium,cium
gemeeezzzz,gemas
ppa,papa
papahhh,papah
duuuhh,duh
ginting,ganteng
bingiiittzz,banget
iiihh,ih
hadeeuh,aduh
geneeee,begini
yooow,iya
gemezz,gemas
gayax,gaya
infpyunnnn,ampun
paraaah,parah
papiii,papi
kamua,kamu
ngambek,mengambek
haduuuh,aduh
kapaan,kapan
nginjek,menginjak
putiha,putih
rasain,merasakan
ituuuu,itu
omaaaaaaakk,oma
loncattt,loncat
didatengin,didatangi
abg,abang
kmariiin,kemarin
ayoklaa,ayolah
jelasssss,jelas
kaliiin,kalian
ujunggg,ujung
kaakaaaa,kakak
srruu,seru
kannn,kan
jmpaaaa,jumpa
marikk,mari
haii,hai
smariaaakkk,suka
dengeeriin,dengarkan
yakaliiiii,yakali

ngertii,mengerti
nyiin,nyikan
nyiin,menyi
apalgi,apalagi
akuh,aku
mesrany,mesra
jendes,janda
ngggk,tidak
coccokk,cocok
msa,masa
jendesss,janda
klepek2,klepek-klepek
bngtttt,banget
ponakn,ponakan
tantee,tante
gadiss,gadis
tpy,tapi
jnda,janda
bngy,banget
bujngn,bujangan
ngp,mengapa
padetan,padatan
bawa2,bawa-bawa
dapetin,mendapatkan
nyobain,mencoba
pcaran,pacaran
or,orang
tdak,tidak
prcuma,percuma
coment,komentar
langgengggg,langgeng
sekaliiiii,sekali
anehhh,aneh
hayal,khayal
bedua,berdua
bapeerr,bawa perasaan
keinget,teringat
merekak,mereka
kreeenn,keren
abisss,habis
kocaaaakkk,kocak
abiiiss,habis
pass,pas
personill,personil
lengkapp,lengkap
ampuuun,ampun

flim.a,film
trusan.a,terusan
tdung,tudung
gangguin,mengganggu
lgkah2,langkah-langkah
taw,tahu
cntiiikkk,cantik
tegaar,tegar
sktlrang,sekarang
kangeeeennnnn,kangen
sjk,sejak
tambh,tambah
nangiis,menangis
aaaaaaaa,
bundaa,bunda
duuhhhhh,duh
gaada,tidak ada
malsud,maksud
lluuccuu,lucu
siappa,siapa
martabakk,martabak
skali2,sekali-kali
akueren2,keren-keren
warkop,warung kopi
hayuu,hayo
kenapaa,kenapa
ilang2an,hilang-hilangan
ayooook,ayo
astagaaaaaaaa,astaga
inihhh,ini
oom,om
mansetan,bermanset
cadasss,cadas
kereeeeennn,keren
"temen"",teman-teman,"
telefisi,televisi
nikmatin,menikmati
baguspp,bagus
mbahh,mbah
giitu,begitu
mta,mata
cpit,sipit
dee,adik
sumvahh,sumpah
tamvann,tampan
yap,iya
guaaaaaaa,gua
capa,sapa
ngakakkk,mengakak
liaat,lihat
gantweng,ganteng
anjjjjjjjj,anjing
gakwad,tidak akuat
seru2,seru-seru
iniii,ini
favoriteeee,favorit
adaa,ada
dinyiin,dinyikan
seruu,seru
nyengir,menyengir
klk,kelak
brjdh,berjodoh
akhrt,akhirat
kangennnnn,kangen
kanggen,kangen
kangennnnnnn,kangen
ysh,iya
sypa,siapa
nangisss,menangis
brjodoh,berjodoh
kaliann,kalian
barengg,bareng
kpnpun,kapanpun
mendj,menjadi
allahhhh,allah
merindinggg,merinding

lhir,lahir
u,sudah
menjdi,menjadi
debay,adik bayi
abangeer,banget
lafazd,lafaz
pmbyran,pembayaran
plsa,pulsa
"dimana"",dimana-mana,"
sokk,sok
ngambekan,ambekan
hub,hubungan
sma2,sama-sama
ngom,membicarakan
toloollll,tolol
bodhooo,bodoh
peliharaaaa,pelihara
makaa,maka
"ati"",hati-hati,"
kemakan,termakan
bodhoo,bodoh
siihhh,sih
andaaa,anda
buktiaa,bukti
smuaaa,semua
kebongkar,terbongkar
tapii,tapi
kasiian,kasihan
diladenin,diladeni
comen,komentar
ngtif,negatif
comntr,komentar
kaliannn,kalian
brdiri,berdiri
mulutny,mulut
msalah,masalah
trserh,terserah
waduuuuh,waduh
ngeduakung,menduakung
dihpus,dihapus
mrekaa,mereka
cakeeeeppp,cakep
benerr,benar
"brg"",bareng-bareng,"
baanget,banget
anjaaaayyyyyy,anjing
ngetsz,banget
utkmu,untukmu
anj,anjing
merekaa,mereka
kann,kan
dieee,dia
yaahh,ya
hijap,hijab
ternodain,ternodai
ngeri2,ngeri-ngeri
mn,mana
kt2,kata-kata
agk,agak
slhkan,salahkan
jilbabny,jilbab
perilakuny,perilaku
ketaatanny,ketaatan
kepda,kepada
sblmny,sebelum
bljr,belajar
pedulilaaaah,pedulilah
ingetin,mengingatkan
terjrumus,terjerumus
stuju,setuju
sbb,sebab
igtlah,ingatlah
dtgkan,datangkan
benahin,membenahi
ohhhh,oh
yapp,iya
jauhh,jauh
bingitt,banget
buka2an,buka-bukaan
ngembali,kembali
sp,sapa
semngat,semangat
lekong,laki
kacauuuu,kacau
ngimpi,mimpi
owh,oh
ngerampas,merampas
ngehancurin,menghancurkan
ngungkit2,mengungkit-ungkit
kaleee,kali
caranga,cara
usa,usah
dipikirin,dipikirkan
nunduk,menunduk
tembemmm,tembem
lucuuuuuuuuuu,lucu
bundaaa,bunda
nyubitt,mencubit
jls2,jelas-jelas
supeer,super
inni,ini
appa,apa
hayooo,hayo
adyem,adem
mitnah,memfitnah
cantikaaaa,cantik
nie,nih
tmbm,tembam
cantix,cantik
kriput,keriput
jelex,jelek
drmn,darimana
"laku"",laku-laku,"
kacian,kasihan
cape,capek
mancing2,memancing-mancing
eeeeh,eh
kpancing,terpancing
lakuin,melakukan
cri,cari
sbener,sebenar
mikirinnn,memikirkan
"diam"",diam-diam"
mengalahkn,mengalahkan
nyindirin,menyindir
nee,ini
mksdx,maksud
shabat,sahabat
jk,jika
brbuat,berbuat
mmberi,memberi
sbhabat,sahabat
pnjerumus,penjerumus
tman,teman
shbat,sahabat
melakukn,melakukan
seorg,seorang
berkluarga,berkeluarga
siapa2,siapa-siapa
ketipu,tertipu
"laki"",laki-laki"
mengait2kan,mengait-ngaitkan
nyir2,nyinyir
gosipin,menggosipkan
sendri,sendiri
bntar,bnanti
duuuhhh,duh
nmbk,menembak
gakkk,tidak
abiiiiisssss,habis

cwok,cowok
abangedd,banget
wuastagah,astaga
jaoooh,jauh
mateeeeeeeeeeee,mati
parsis,persis
sumpeh,sumpah
iyh,iya
kmana,kemana
cantiqs,cantik
kecik,kecil
brasa,berasa
trlihat,terlihat
mmberikan,memberikan
khidupan,kehidupan
srpti,seperti
dinamakn,dinamakan
mlu,melulu
sgtu,sebegitu
paati,pasti
th,tahu
akutuu,akutu
setelur2,setelur-telur
kel,keluarga
srta,serta
kcil,kecil
kberkahn,keberkahan
kbahagiaan,kebahagiaan
tntram,tentram
brsama,bersama
hngga,hingga
brpndapat,berpendapat
trutama,terutama
hiraukn,hiraukan
diamkn,diamkan
hrsny,harusny
brsmariur,bersmariur
mmberikn,memberikan
rasakn,rasakan
cari2,cari-cari
kesalahanny,kesalahan
keakuranganny,keakurangan
seandainy,seandai
perasaanny,perasaan
diindonesis,diindonesia
kayahhh,kaya
ala2,ala-ala
yook,mari
yoookkkk,mari
siihh,sih
elus2,elus-elus
asliiiii,asli
aduuhhhh,aduh
belom,belum
padahl,padahal
btul,betul
da,dah
kejahatn,kejahatan
slam,salam
ngelewati,melewati
kalu,kalau
ngerendahin,merendahkan
apaalahh,apalah
tnp,tanpa
menyebut2,menyebut-nyebut
mnt,minta
kiya,kita
miriiiiip,mirip
dirimuuu,dirimu

semuaaaa,semua
suka.a,suka
jdii,jadi
blnja,belanja
brang,barang
lw,kalau
ada2,ada-ada
nimpuk,menimpuk
abiss,habis
prlu,perlu
coyyy,coy
suaraa,suara
jnagn,jangan
kcwa,kecewa
sok2an,belaguan
dket2in,mendekati
cobak,coba
tau2,tahu-tau
mahh,mah
jamam,jaman
paraa,para
seharusny,seharusnya
dasaar,dasar
bergunaa,berguna
mulutaa,mulut
blkng,belakang
kcewa,kecewa
mnusuk,menusuk
blkang,belakang
nembak,menembak
trmanis,termanis
krng,kurang
kaciiaann,kasihan
nyela,mencela
ngejilat,menjilat
hallooo,halo

tayik,tahi
halooo,halo
ustzah,ustazah
halow,halo
poooolllll,pol
tahannn,tahan
aduuh,aduh
nyimpen,menyimpan
ngarsipin,mengarsipkan
cman,cuma
gituuuuu,begitu
kyy,kaya
kngn,kangen
kq,kok
nyesek,menyesak
rinduuuuuuu,rindu
b2,berdua
kangeeeennn,kangen
mg,moga
aamiiiiinnn,amin
gemezzzz,gemas
kangennnnnn,kangen
prh,parah
bakattt,bakat
napsuu,nafsu
gmau,tidak mau
luccu,lucu
prasaan,perasaan
lahirr,lahir
setujuuuu,setuju
sering2,sering-sering
ceemen,cemen
"sembunyi"""",sembunyi-sembunyi"
skrnh,sekarang
cerdiik,cerdik
jeniuss,jenius

kreen,keren
s'lalu,selalu
mauuuuuu,mau
mintk,minta
nyolong,mencolong
pnjng,panjang
slaluuuuu,selalu
kanggggg,kang
rezeqi,rezeki
pintr,pintar
adikk,adik
maw,mau
akura2,akura-akura
edaaann,edan
nempel,menempel
hatiiii,hati
sukkaa,suka
luuuucuuu,lucu
caantiiik,cantik
luucuuu,lucu
putihh,putih
"terus""an,terus-terusan,"
siiih,sih
tertaa,terta

sekaliiii,sekali
peduliin,mempedulikan
komntr,komentar
smngat,semangat
dosax,dosa
pahalax,pahala
akhirt,akhirat
tinggalkn,tinggalkan
rumh,rumah
trhtung,terhitung

ademmm,adem
cerdass,cerdas
tambahh,tambah

didengerin,didengarkan
bagusppppp,bagus
ngerespon,membalas
dulurrr,dulu
brusaha,berusaha
pahamin,memahami
lebh,lebih
amin2,amin-amin
positippp,positif
jauuhhh,jauh
brhjb,berhijab
mdh2n,mudah-mudahan
jlbb,jilbab
dempga,semoga
selm,selama
tth,teteh
otot2,otot-otot
lengkeeett,lengket
caaannnttiikkk,cantik
trusss,terus
ademm,adem
apalagiii,apalagi
passs,pas
beginii,begini
satuu,satu
cuantek,cantik
akuuuur,akur
iniehh,ini
sayangx,sayang
jodohx,jodoh
kaliaan,kalian
hasl,hasil
kencng,kencang
pmbantu,pembantu
kmbl,kembali
cuchook,cocok

sempurnaa,sempurna
klihatan,kelihatan
cintax,cinta
pnuh,penuh
ngrti,mengerti
"mudah""an,mudah-mudahan"
"segala""ny,segala-gala"
mantanny,mantan
jodohny,jodoh
cantk,cantik
ituuu,itu
kaasian,kasihan
padhl,padahal
"ank"",anak-anak"
pkrin,pikirkan
anakx,anak
sia2kan,sia-siakan
naaahhh,nah
beluumm,belum
sayangggq,sayangaku
kreean,keren
ciiieee,cie
cieee,cie
cieeee,cie
berenanh,berenang
pacarr,pacar
bingitss,banget
besokkk,besok
annnnjjjjjjrrrr,astaga
ngeliatin,melihati
ngumbar2,mengumbar-umbar
romantiss,romantis
cocook,cocok
lucuuuuuuuu,lucu
kaaaaaann,kan
aaaaaa,
lgs,langsung
yaang,yang
abangedt,banget
gde,gede
lutunaaa,lucu
bikinnn,bikin
keee,ke
bungakuuussss,bungakus
lucux,lucu
bntr,bnanti
buaaak,bak
aaamiiinnn,amin
aaamiiin,amin
ntap,bagus
abgah,aabang
mungkiin,mungkin
akuhh,aku
manteb,bagus
hiduupppp,hidup
tebel,tebal
nganggepin,menanggapi
"mentang"",mentang-mentang,"
najiss,najis
perjabatt,pejabat
makany,maka
benneeeeeerr,benar
krjaan,pekerjaan
kdng,kadang
kdang,kadang
knan,kanan
anak'y,anak
trknal,terkenal
"gtu"",begitu-gitu,"
klok,kalau
aamiiiinnnnn,amin
pengennnn,mau
guw,saya
siiiiiiippppppppp,sip
selaloe,selalu
donggg,dong
beruntungaaa,beruntung
soal'y,soal
prhatian,perhatian
hebaat,hebat
ampunn,ampun
sayaeeee,saya
liatt,lihat
gehh,
ankkaa,anak
centilaaaaa,centil
gemesshzzzzhzzhzhzhsjssjs,gemas
ngacaaa,mengaca
diaaa,dia
jirr,astaga
kayaa,kaya
cempreeng,cempreng
centillll,centil
pcran,pacaran
anedh,banget
ampyunnnn,ampun
boro2,boro-boro
nyta,nyata
kampungn,kampungan
j,saja
mnghina,menghina
ngolokin,mengolok
ngurusin,mengurus
blum,belum
"syirik"",syirik-syirik,"
than,tahan
dsr,dasar
siriik,sirik
mampuuu,mampu
khan,kan
aduuhh,aduh
cemburuu,cemburu
bingitzzzz,banget
tlog,tolong
apasihhh,apasih
sirikk,sirik
dbnding,dibanding
nrka,neraka
s3ndiri,sendiri
bhgiain,membahagiakan
kdua,kedua
prcya,percaya
bhagaia,bahagia
cuco,cocok
genittt,genit
kx,kak
mlikk,milik
"mentah"",mentah-mentah,"
canci,cantik
aneed,banget
gimanaa,bagaimana
lainnn,lain
pentingg,penting
kenalin,memperkenalkan
bagaimanaaa,bagaimana
krudung,kerudung
enakkkkk,enak
poool,pol
jirrrr,astaga
oprasiya,operasi
uwee,saya
pilihannny,pilihan
itumahh,itumah
muuuu,mu
uuhhh,uh
berbakiti,berbakti
alhamd,alhamdulillah
slmttt,selamat
ucapin,mengucapkan
tetp,tetap
ditengah2,ditengah-tengah
semuaa,semua
semuanaa,semua
aminn2,amin-amin
abs,habis
kebk'an,kebakan
melahirin,melahirkan
aduuuh,aduh
cakeep,cakep
lhooo,
kamuuuu,kamu
bagi2,bagi-bagi
gimn,bagaimana
smogaaa,semoga
biza,bisa
lngsing,langsing
wowoooww,wow
smulla,semula
pdhall,padahal
blln,bulan
senang2,senang-senang
jh,saja
kereeennnn,keren
gilakkk,gila
gtu2,begitu-gitu
cpet,cepat
gtau,tidak tau
fans2,fan-fan
gaharus,tidak harus
baguss, baik
utk, untuk
skalian, sekalian
proxessor, processor
kalo, kalau
