slang,formal
dptkan,dapatkan
artis2,artis-artis
kalii,kali
ninggiin,meninggikan
baget,banget
dri,dari
kira2,kira-kira
lgsg,langsung
ngk,tidak

pas2an,pas-pasan
balesin,membalas
gausah,tidak usah
sukaaa,suka
lutuna,lucu
ciapa,siapa
gemesss,gemas
duhh,duh
terharuuu,terharu
alamii,alami
sampek,sampai
ckrng,sekarang
ngegemesin,menggemaskan
imoet,imut
imut2,imut-imut
jagain,jaga
yahbh,ya
msih,masih
macem2,macam-macam
sktika,seketika
lutu,lucu
wowwww,wow
massss,mas
kesiniii,kesini
"keren"",keren-keren"
"jalan"",jalan-jalan"
masyaallahhh,masyaallah
kerennn,keren
ksni,kesini
bodohk,bodoh
bkan,tidak
jgk,juga
bawak,bawa
it,itu
nti,nanti
pgi,pagi
keeeeeren,keren
baguusss,bagus
mna,mana
nahannnn,tahan
bagaatt,banget
gayannxa,gaya
kereeeen,keren
uda,sudah
ngekeh,kekeh
xlian,kalian
b3,bertiga
ihhh,ih
lcu,lucu
pait,pahit
koplakkk,koplak
kerass,keras
yachhh,ya
gokil,gila
ngelawak,melawak
iiihhhhh,ih
nyolotinnnn,menyolot
beratttttttt,berat
cantiikkkk,cantik
hijaabbb,hijab
sekalii,sekali
smnagatin,menyemangati
pakek,pakai
kanapa,kenapa
cans,cantik
banhet,banget
ahhhh,
bgttttttt,banget
blng,bilang
mngasi,mengasih
kmabang,kemabang
pg,pagi
nie,ini
pla,pula
kw,kau
blakon,berlakon
sy,saya
nmpk,nampak
bngtzt,banget
lucukkkkk,lucu
sbelah,sebelah
baek,baik
ciusss,serius
palinf,paling
fav,favorit
maak,mak
ngakaaaakkk,mengakak
gokill,gila
kocakkkkkk,kocak
ngekek,mengekek
capee,cape
pegangin,memegang
nyender,mendar
bener,benar
manjain,memanjakan
peleotin,meleot
bng,abang
termurahhhh,termurah
takan,metakan
graaatiiiis,gratis
meriahh,meriah
cantikkkm,cantik
parahh,parah
bingits,banget
yuppss,iya
nyindir,menyindir
onoh,sana
bnyk,bak
anakny,anak
staf2,staf-staf
begete,banget
aduhh,aduh
manteppp,bagus
hati2,hati-hati
jangan2,jangan-jangan
kata2,kata-kata
ynk,sayang
"nangis"",menangis-nangis,"
"hati"",hati-hati,"
"jangan"",jangan-jangan,"
emank,memang
jagain,menjaga
cr,cara
diemin,diamkan
hancurin,menghancurkan
ckp,cukup
mgkn,mungkin
ato,atau
diapain,diapakan
ms,masih
haragain,menghargai
cb,coba
suda,sudah
menyakitin,menyakiti
jgn2,jangan-jangan
sbaik,sebaik
mngerti,mengerti
blajar,belajar
fakta2,fakta-fakta
spt,seperti
mnding,mending
nilai2,nilai-nilai
buka2,buka-buka
nyinyirin,nyinyir
pdhl,padahal
pd,pada
nyerang,menyerang
hrs,harus
mrk,mereka
trima,terima
ngomomg,membicarakan
mang,memang
kbetulan,kebetulan
orgtua,orang tua
sbelum,sebelum
ngamatin,mengamati
ngintip,mengintip
stelah,setelah
sndiri,sendiri
ngintilin,mengintil
smnjak,semenjak
trbukti,terbukti
menyabet,meyambat
msk,masuk
krmh,ke rumah
rmh,rumah
bo'ong,bohong
eloo,lu
apa2,apa-apa
bodohkk,bodoh
sesatt,sesat
ibliss,iblis
elo,kamu
kbiasaan,kebiasaan
lbh,lebih
byk,bak
tdr,tidur
sbuah,sebuah
anak2,anak-anak
ank2,anak-anak
milih,memilih
branjak,beranjak
masyarakay,masyarakat
mudah2an,mudah-mudahan
menegerti,mengerti
sok2,belagu
nasehatin,menasihati
ngaca,mengaca
ajah,saja
kakkkk,kak
slamet,selamat
ampe,sampai
nari,menari
ehh,eh
mf,maaf
ngcpin,mengucapkan
woowwww,wow
iaa,iya
kdg,kadang
kebagi,terbagi
nerusin,meneruskan
indo,indonesia
univ,universitas
maen,main
tetapppp,tetap
gantenggg,ganteng
jakety,jaket
nggk,tidak
skli,sekali
kli,kali
ttp,tetap
pala,kepala
pusingggg,pusing
pucing,pusing
ihhhh,
maho,manusia homo
gantng,ganteng
alak,kepala
hilangv,hilang
bungggg,bung
gapap,tidak apa-apa
kyak,seperti
pling,paling
gokiiill,gila
busedh,buset
duluuu,dulu
keceee,kece
klu,kalau
gilaa,gila
amiiiiinnnnn,amin
dg,dengan
tullus,tulus
tw,tahu
pluk,peluk
durhaka2,durhaka-durhaka
kpada,kepada
"seburuk"",seburuk-buruk"
ortu,orang tua
ktaa,kita
yup,iya
tdk,tidak
tetaplaah,tetaplah
ajja,saja
dech,adik
oprasi,operasi
gya,gaya
kndung,kandung
sbg,sebagai
u,untuk
ksenangan,kesenangan
ddpt,didapat
jwab,jawab
mmbodohkan,membodohkan
orlaen,orang lain
bgtu,begitu
drpd,daripada
malem,malam
aplikasiin,mengaplikasikan
berangat,berangkat
praktekin,mempraktikkan
dahh,sudah
gmn,bagaimana
omdo,omong doang
kate,kata
cabe2,cabe-cabe
prjuangan,perjuangan
stimpal,setimpal
ddpat,didapat
sprt,seperti
bc,baca
mnilai,menilai
usahh,usah
segala2,segala-gala
sekarng,sekarang
sprti,seperti
masing2,masing-masing
mka,maka
hay,hai
mreka,mereka
bhagia,bahagia
korek2,korek-korek
ngebales,membalas
krna,karena
sihh,sih
sasama,sesama


seklian,sekalian
kluar,keluar
tuuu,itu
ngurusan,mengurusi
campurin,mencampuri
emnk,memang
py,punya
unyuu,unyu
mrangakul,merangkul
adlh,adalah
wlo,walau
bk,bak
lh,lah
manusiy,manusia
tx,tak
samara,sakinah mawadah warahmah
teringt,teringat
trmsuk,termasuk
dn,dan
pilihnmu,pilihanmu
swmntara,sementara
trmasuk,termasuk
orang2,orang-orang
sgt,sangat
liht,lihat
suaminy,suami
jadul,jaman dulu
mantaff,bagus
ngata2in,mengata-ngatai
bagaimna,bagaimana
mulusssss,mulus
bgus,bagus
gmana,bagaimana
kpleset,kepleset
yawlah,ya allah
kepeleset,kepleset
kayanye,sepertinya
amiinnnn,amin
komentar2an,komentar-komentaran
wewww,wow
dumsss,dong
tar,nanti
keq,seperti
perbaikin,memperbaiki
permasalhkan,permasalahkan
betul2,betul-betul
jauhin,jauhi
dateng,datang
adiik,adik
manisss,manis
"besar"",besar-besar,"
"masing"",masing-masing,"
ddlm,di dalam
kmbali,kembali


ttg,tentang
rata2,rata-rata
lbih,lebih
byk,banyak
critamu,ceritamu
ja,saja
dh,dah
bres,beres
cmkn,camkan
diurusin,diurusi
biarin,biarkan
kale,kali
donks,dong
"membanding"",membanding-banding,"
mengperbolehkan,memperbolehkan
krena,karena
ngri,negeri
"dingin"",dingin-dingin,"
lma,lama

ngebolehin,membolehkan
denger,dengar
"jelek""in,menjelek-jelekkan,"
stiap,setiap
gausa,tidak usah
maksain,memaksakan
smog,semoga
mnerima,menerima
baikxa,baik
aaamin,amin
sekangen2,sekangen-kangen
kt,kita
amiiiiiiiiiinnnnnnn,amin
nolongin,menolong
amiiiiiiiiiiin,amin
seluru,seluruh
tebir,ribet
doangam,doang
"tebir"",ribet-ribet,"
amad,amat
mkst,maksud
rempong,repot
ngurusin,mengurusi
kerjaan,pekerjaan
bingittzz,banget
bangets,banget
ikh,ih
nengok,menengok
bante,bantai
la,lah
komentaran,komentar
hadapin,menghadapi
dengarin,mendengarkan
ush,usah
cock,cocok
widihh,waduh
mantepp,bagus
cita2,cita-cita
temen-temen,teman-teman
stu,satu
syrat,syarat
pnjang,panjang
shat,sehat
inginkn,inginkan
belanjaa,belanja
burem,buram
tlp,telepon
dngan,dengan
ngka,mengka
ngerasain,merasakan
kancang,kencang
tmbh,tambah
mansyoallah,masyaallah
skali,sekali
canttttikkk,cantik
subhanal,subhanallah
saranin,sarankan
lakuin,lakukan
langgenh,langgeng
foto2,foto-foto
tanggung2,tanggung-tanggung
salluutt,salut
pkai,pakai
org2,orang-orang
mkn,makin
seneng,senang
pdng,padang
warbiyasah,luar biasa
pk,pakai
keedaan,keadaan
lagu2,lagu-lagu
saya2,saya-saya
sekrng,sekarang
ttap,tetap
mrah,marah
gra2,gara-gara
sngaja,sengaja
jlek,jelek
udah2,sudah-sudah
ungkit2,ungkit-ungkit
pura2,pura-pura
gatau,tidak tau
curhat2,curhat-curhat
matany,mata
dteng,datang
mata'y,mata
baju2,baju-baju
buruannn,buruan
emng,memang
perubut,perebut
sumai,suami
tk,tidak
urusin,mengurusi
apah,apa
bagus2,bagus-bagus
say,sayang
mmbela,membela

sndri,sendiri
sj,saja
llki,lelaki
dluar,diluar
sna,sana
boleh2,boleh-boleh
dya,dia
maluuuu,malu
beda2,beda-beda
ranin,menyarankan
x,kali
tongolin,menongol
cabol,cabul
ape,apa
nyet,monyet
muna,munafik
jing,anjing
nihh,nih
hidiyah,hidayah
percya,percaya
bgi,bagi
tlg,tolong
sya,saya
sdri,sendiri
tdi,tadi
mgkin,mungkin
bhwa,bahwa
skaligus,sekaligus
y,saya
cek2,cek-cek
spti,seperti
smakin,semakin
sbgai,sebagai
mgk,mungkin
bgmn,bagaimana
sapa2,sapa-sapa
sama2,sama-sama
dng,dengan
termurahhh,termurah
bbrp,beberapa
bhw,bahwa
baaaaaak,bak
baik2,baik-baik
tunjukan,tunjukkan
anak2mu,anak-anakmu
ngasih2,mengasih-ngasih
berfikir,berpikir
ni,nih
amit2,amit-amit
mba,mbak
elu,lu
ngajuin,mengajukan
tiba2,tiba-tiba
jkt,jakarta
terbaeq,terbaik
namany,nama
jels,jelas
diakibtkn,diakibatkan
suk,suka
jelek2,jelek-jelek
dsrny,dasar
jkrta,jakarta
mantaap,bagus
benar2,benar-benar
main2,main-main
lanjutkaaaaan,lanjutkan
hiduppp,hidup
majuuu,maju
teruuss,terus
kdg2,kadang-kadang
sebelumbya,sebelum
tunjukin,tunjukkan
"tahun"",tahun-tahun,"
komentart,komentar
mpein,mempaikan
hokiii,hoki
naksir,menaksir
"abangt"",banget-banget,"
nafkahin,menafkahi
ngitem,menghitam
baaaak,bak
"sama"",sama-sama,"
gx,tidak
lhat,lihat
cantika,cantik
cwek,cewek
kngen,kangen
fillm,film
sinet,sinetron
jendral,jenderal

mae,main
cantiks,cantik
pilm,film
taon,tahun
ndak,tidak
slah,salah
beliin,belikan
cini,sini
jaaangan,jangan
nambah,bertambah
naek,naik
terimaksih,terima kasih
inii,ini
kaannnn,kan
tidakkkk,tidak
kemuh,kamu
da,sudah
keren2,keren-keren
sby,surabaya
tgl,tanggal
pinginnn,mau
buanget,banget
ketemuuu,ketemu
kebawa,terbawa
mimpiii,mimpi
wanjerrr,astaga
satupunn,satupun
motret,memotret
temen2,teman-teman
lapakk,lapak
nyeniii,menyeni
bget,banget
seeh,sih
abis,habis
deuhh,duh
b2an,berduaan
dihargain,dihargai
"engga"",tidak-tidak,"
tahun2,tahun-tahun
lebayy,lebay
gilsss,gila
dech, deh
nganbek,mengambek
sukaa,suka
enk,enak
njir,astaga
mendam,memendam
manta,mantan
relaaaa,rela
bgun,bangun
tdur,tidur
cntk,cantik
knl,kenal
anugrah,anugerah
slm,salam
kliatan,kelihatan
awoohhh,allah
cantiikk,cantik
gt,begitu
